ticker,date,change_percent,from_open_percent,gap,change_percent_pre,from_open_percent_pre,gap_pre,beta_pre,atr_pre,sma20_percent_pre,sma50_percent_pre,sma200_percent_pre,high_52w_percent_pre,low_52w_percent_pre,rsi_pre,price_pre,volume_pre
HRTG,2025-04-17,6.01,6.55,-0.51,22.54,14.19,7.31,0.95,1.22,30.19,57.84,89.23,20.54,295.77,86.53,24.3,1311855
PRCH,2025-04-15,2.26,1.68,0.56,67.98,32.96,26.34,2.46,0.84,81.31,69.5,180.37,25.52,914.29,79.39,10.65,23958412
HBB,2025-05-15,0.34,0.74,-0.4,26.12,19.22,5.79,0.38,1.49,5.93,-0.7,-15.3,-42.42,38.11,55.23,18.3,127926
ALNT,2025-05-20,-0.09,0.47,-0.56,21.43,15.58,5.06,1.34,1.16,23.94,19.53,17.92,-16.06,58.84,75.29,26.86,195755
AXON,2025-05-09,-0.33,0.08,-0.41,14.13,5.99,7.67,1.25,28.29,15.82,22.54,33.33,-4.07,151.11,71.88,686.83,1678164
DAVE,2025-05-09,9.49,9.42,0.07,41.64,13.68,24.59,3.5,8.78,61.79,70.42,116.01,22.18,439.49,87.51,152.73,2615366
DGII,2025-05-20,-1.23,-0.72,-0.51,14.07,5.68,7.94,0.84,1.43,17.35,14.73,8.54,-13.61,58.78,72.5,32.02,448290
HDSN,2025-05-09,-4.36,-4.36,0,16.24,10.64,5.07,0.94,0.39,27.61,30.47,16.79,-22.31,52.64,77.49,7.8,2449001
TPC,2025-05-20,0.58,0.44,0.14,26.41,11,13.88,1.51,1.73,35.62,26.93,21.17,-13.55,106,76.54,29.87,1537896
ARLO,2025-05-20,0,0.37,-0.37,16.82,6.42,9.77,1.9,0.59,26.22,21.11,8.25,-29.54,58.54,77.82,12.43,1630449
BTCS,2025-05-21,1.49,-6.21,8.21,61.98,51.71,6.77,1.14,0.22,75.9,78.04,53.33,-42.51,227.37,81.68,3.11,5838759
GOGO,2025-05-20,0.16,0.33,-0.16,45.31,15.18,26.16,0.87,0.65,46.3,46.24,43.91,0,78.28,80.38,11,12459311
