ticker,beta_3,atr_3,sma20_percent_3,sma50_percent_3,sma200_percent_3,high_52w_percent_3,low_52w_percent_3,rsi_3,price_3,change_percent_3,from_open_percent_3,gap_3,volume_3,beta_2,atr_2,sma20_percent_2,sma50_percent_2,sma200_percent_2,high_52w_percent_2,low_52w_percent_2,rsi_2,price_2,change_percent_2,from_open_percent_2,gap_2,volume_2,beta_1,atr_1,sma20_percent_1,sma50_percent_1,sma200_percent_1,high_52w_percent_1,low_52w_percent_1,rsi_1,price_1,change_percent_1,from_open_percent_1,gap_1,volume_1
CDIO,4.42,0.1,190.84,258.86,75.1,-69.66,468.42,90.69,1.08,38.46,38.32,0.1,23081897,4.53,0.08,131.03,174.83,25.76,-78.09,310.53,86.01,0.78,41.82,40.54,0.91,13712821,4.52,0.07,72.8,101.76,-12.05,-84.55,189.47,78.19,0.55,18.43,3.77,14.13,47047011
GXAI,1.39,0.75,195.44,226.87,51.69,-74.01,394.06,90.1,4.99,22.3,33.42,-8.33,56487988,2.45,0.51,169.75,179.72,23.47,-78.75,303.96,87.36,4.08,56.92,12.09,40,107556400,2.83,0.32,88.34,84.53,-21.59,-86.46,157.43,78.28,2.6,83.1,30.65,40.14,144990417
QSI,3.18,0.27,89.45,133.36,78,-7,269.22,74.82,2.26,13.57,20.86,-6.03,29142207,3.23,0.24,76.12,111.5,57.09,-18.11,225.11,71.42,1.99,49.62,42.14,5.26,41258327,3.23,0.19,23.44,44.66,5.17,-45.27,117.28,58.77,1.33,10.83,8.13,2.5,9900476
RVPH,-0.06,0.37,86.46,102.57,41.88,-55.56,320,84.53,2.52,18.87,5,13.21,9648937,-0.03,0.33,66.21,73.43,18.75,-62.61,253.33,80.05,2.12,28.48,22.54,4.85,21796983,-0.03,0.15,35.74,36.7,-8.15,-70.9,175,70.83,1.65,15.38,9.27,5.59,1898352
AGFY,10.37,9.29,-19.89,72.74,259.17,-68.42,884.1,48.82,26.67,-12.84,-8.35,-4.9,182809,10.33,9.7,-4.97,104.35,317.27,-63.76,1029.11,51.87,30.6,13.29,17.69,-3.74,133830,10.35,9.92,-12.74,87.18,273.74,-68.01,896.64,49.18,27.01,-16.92,-11.56,-6.06,179430
CRVO,1.61,2.26,-77.89,-81.77,-87.2,-91.81,-63.08,24.49,2.16,-78.93,-14.62,-75.32,8194729,1.6,1.81,-0.16,-15.25,-39.47,-61.14,75.21,46.37,10.25,-13.94,-26.84,17.63,385610,1.61,1.64,14.73,-2.31,-29.74,-54.85,103.59,55.87,11.91,22.53,13.97,7.51,579999
DRCT,6.84,0.22,-31.34,-57.09,-85.33,-97.48,19.67,30.42,0.91,-10.29,-11.18,1,225641,6.83,0.23,-28.13,-52.71,-83.87,-97.19,33.39,32.42,1.01,18.32,18.27,0.05,431089,6.83,0.23,-42.47,-60.47,-86.54,-97.62,12.73,25.59,0.85,-10.24,-5.17,-5.35,227715
SATL,1.91,0.47,107.35,192.21,210.24,-27.5,452.78,76.27,3.98,-16.03,-6.13,-10.55,2645713,2,0.43,167.34,263.76,273.09,15.61,558.33,94.38,4.74,20.92,-0.21,21.17,8130622,1.99,0.34,147.33,218.84,212.47,0.51,444.44,92.63,3.92,24.84,10.42,13.06,5468623
SNTI,2.57,1.3,48.17,97.75,84.44,-66.82,269.71,58.19,5.62,-13.8,-12.05,-1.99,275879,2.7,1.33,79.91,134.97,114.44,-61.51,328.92,63.56,6.52,18.55,15.6,2.55,786778,2.65,1.3,61.57,104.49,81.62,-67.53,261.82,59.64,5.5,-11.29,-8.33,-3.23,397095
UAMY,0.87,0.2,56.48,82.8,197.53,-36.24,702.54,63.89,1.39,-14.2,-6.71,-8.02,9101680,0.9,0.19,89.91,116.62,251.14,-16.49,835.33,73.69,1.62,-14.74,-23.58,11.58,20464500,0.9,0.15,136.03,159.95,318.17,38.69,997,89.13,1.9,40.74,31.94,6.67,20126433
